session_id,user_id,event_timestamp,event_name,page_path,page_depth,device_category,traffic_source,time_on_page_seconds,country,page_order_num,week
sess_0001,d88ec136-4be0-436d-8782-f4da36ec71fb,2024-05-04 03:56:41,page_view,/apply-renew-passport,1,mobile,direct,13,United Kingdom,0,2024-04-29
sess_0002,1be30069-25dd-434a-baa5-d7e2e62b3780,2024-05-11 09:38:53,page_view,/apply-renew-passport,1,desktop,organic_search,18,United Kingdom,0,2024-05-06
sess_0002,1be30069-25dd-434a-baa5-d7e2e62b3780,2024-05-11 09:39:38,page_view,/apply-renew-passport/eligibility,2,desktop,organic_search,65,United Kingdom,1,2024-05-06
sess_0002,1be30069-25dd-434a-baa5-d7e2e62b3780,2024-05-11 09:41:08,page_view,/apply-renew-passport/photo,3,desktop,organic_search,164,United Kingdom,2,2024-05-06
sess_0002,1be30069-25dd-434a-baa5-d7e2e62b3780,2024-05-11 09:43:23,page_view,/apply-renew-passport/personal-details,4,desktop,organic_search,17,United Kingdom,3,2024-05-06
sess_0003,1f6e68cc-17ac-4d93-8c01-8b249e55bb64,2024-05-16 04:24:40,page_view,/apply-renew-passport,1,desktop,organic_search,217,United Kingdom,0,2024-05-13
sess_0003,1f6e68cc-17ac-4d93-8c01-8b249e55bb64,2024-05-16 04:25:25,page_view,/apply-renew-passport/eligibility,2,desktop,organic_search,204,United Kingdom,1,2024-05-13
sess_0003,1f6e68cc-17ac-4d93-8c01-8b249e55bb64,2024-05-16 04:26:55,page_view,/apply-renew-passport/photo,3,desktop,organic_search,188,United Kingdom,2,2024-05-13
sess_0003,1f6e68cc-17ac-4d93-8c01-8b249e55bb64,2024-05-16 04:29:10,page_view,/apply-renew-passport/personal-details,4,desktop,organic_search,22,United Kingdom,3,2024-05-13
sess_0004,60726f91-f3a6-4211-9000-9a716f091fd1,2024-05-28 06:08:25,page_view,/apply-renew-passport,1,mobile,organic_search,59,United Kingdom,0,2024-05-27
sess_0005,abcf6c51-ce1a-472f-b630-43b131abc75c,2024-02-21 08:45:23,page_view,/apply-renew-passport,1,desktop,direct,106,United Kingdom,0,2024-02-19
sess_0005,abcf6c51-ce1a-472f-b630-43b131abc75c,2024-02-21 08:46:08,page_view,/apply-renew-passport/eligibility,2,desktop,direct,85,United Kingdom,1,2024-02-19
sess_0005,abcf6c51-ce1a-472f-b630-43b131abc75c,2024-02-21 08:47:38,page_view,/apply-renew-passport/photo,3,desktop,direct,168,Ireland,2,2024-02-19
sess_0005,abcf6c51-ce1a-472f-b630-43b131abc75c,2024-02-21 08:49:53,page_view,/apply-renew-passport/personal-details,4,desktop,direct,28,United Kingdom,3,2024-02-19
sess_0006,825e55dc-8888-4fdf-9bfe-a7f1508f6aa0,2024-05-16 19:32:33,page_view,/apply-renew-passport,1,mobile,direct,30,United Kingdom,0,2024-05-13
sess_0006,825e55dc-8888-4fdf-9bfe-a7f1508f6aa0,2024-05-16 19:33:18,page_view,/apply-renew-passport/eligibility,2,mobile,direct,231,United Kingdom,1,2024-05-13
sess_0006,825e55dc-8888-4fdf-9bfe-a7f1508f6aa0,2024-05-16 19:34:48,page_view,/apply-renew-passport/photo,3,mobile,direct,81,United Kingdom,2,2024-05-13
sess_0006,825e55dc-8888-4fdf-9bfe-a7f1508f6aa0,2024-05-16 19:37:03,page_view,/apply-renew-passport/personal-details,4,mobile,direct,58,United Kingdom,3,2024-05-13
sess_0007,d60b66f0-3b86-4f70-aa27-07edf94fb843,2024-03-12 21:10:06,page_view,/apply-renew-passport,1,mobile,direct,184,United Kingdom,0,2024-03-11
sess_0007,d60b66f0-3b86-4f70-aa27-07edf94fb843,2024-03-12 21:10:51,page_view,/apply-renew-passport/eligibility,2,mobile,direct,165,United Kingdom,1,2024-03-11
sess_0007,d60b66f0-3b86-4f70-aa27-07edf94fb843,2024-03-12 21:12:21,page_view,/apply-renew-passport/photo,3,mobile,direct,146,United Kingdom,2,2024-03-11
sess_0007,d60b66f0-3b86-4f70-aa27-07edf94fb843,2024-03-12 21:14:36,page_view,/apply-renew-passport/personal-details,4,mobile,direct,15,United Kingdom,3,2024-03-11
sess_0008,99c92bed-d7ca-47df-a812-1935047feae1,2024-02-22 10:02:52,page_view,/apply-renew-passport,1,tablet,direct,185,United Kingdom,0,2024-02-19
sess_0008,99c92bed-d7ca-47df-a812-1935047feae1,2024-02-22 10:03:37,page_view,/apply-renew-passport/eligibility,2,tablet,direct,206,United Kingdom,1,2024-02-19
sess_0008,99c92bed-d7ca-47df-a812-1935047feae1,2024-02-22 10:05:07,page_view,/apply-renew-passport/photo,3,tablet,direct,68,United Kingdom,2,2024-02-19
sess_0008,99c92bed-d7ca-47df-a812-1935047feae1,2024-02-22 10:07:22,page_view,/apply-renew-passport/personal-details,4,tablet,direct,56,United Kingdom,3,2024-02-19
